cascade_root_id,category,unique_user_count,depth,size,max_breadth,virality,strongly_cc,weakly_cc,size_of_scc,avg_cluster_coef,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
1288771853822103552,covid_true,6,2.0,7.0,6.0,0.1904761904761904,7.0,1.0,7.0,0.0,0.1428571428571428,1.1666666666666667,1.2856040517117926,1.0246281744283177,1.0
1251209120528637952,covid_true,140,1.0,142.0,142.0,0.0070422535211267,142.0,1.0,142.0,0.0,0.0070422535211267,1.0,5.979278639572284,124.99934636386529,1.0
1238131956526784512,covid_true,1,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,1.0
1262244018198441984,covid_true,17,2.0,20.0,17.0,0.0657894736842105,20.0,1.0,20.0,0.0,0.05,1.1764705882352942,2.0041508173326075,1.051073853208789,1.0
1273140209090203651,covid_true,119,2.0,121.0,102.0,0.0108815426997245,121.0,1.0,121.0,0.0,0.0082644628099173,1.1862745098039216,4.690252895337545,1.0797313235374268,1.0
1268444073448398850,covid_true,1,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,1.0
1238225647299964928,covid_true,14,1.0,14.0,14.0,0.0714285714285714,14.0,1.0,14.0,0.0,0.0714285714285714,1.0,1.9414506867883017,13.1515590944776,1.0
1254496226067640320,covid_true,1,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,1.0
1258092782637506560,covid_true,135,1.0,136.0,136.0,0.0073529411764705,136.0,1.0,136.0,0.0,0.0073529411764705,1.0,5.852508167602318,124.99934636386529,1.0
1288573258170871808,covid_true,1,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,1.0
1242211691649052672,covid_true,130,3.0,149.0,102.0,0.0113821875566842,149.0,1.0,149.0,0.0,0.0067114093959731,1.431372549019608,4.277275194542269,0.7846809186492839,1.0
1242246957290196992,covid_true,96,2.0,98.0,96.0,0.0106248685041026,98.0,1.0,98.0,0.0,0.010204081632653,1.0208333333333333,4.8758091348974055,0.5093587350933789,1.0
1280625701557882880,covid_true,145,1.0,146.0,146.0,0.0068493150684931,146.0,1.0,146.0,0.0,0.0068493150684931,1.0,6.062320029323018,124.99934636386529,1.0
1246200838915309568,covid_true,275,3.0,288.0,193.0,0.0082631629887727,288.0,1.0,288.0,0.0,0.0034722222222222,3.075268817204301,4.742281882790073,0.6612701365511755,1.0
1252673409584111617,covid_true,117,2.0,122.0,99.0,0.0113128302398049,122.0,1.0,122.0,0.0,0.0081967213114754,1.2323232323232325,4.554146460416559,1.1641004506220534,1.0
1252662640792539140,covid_true,95,2.0,100.0,98.0,0.0104040404040404,100.0,1.0,100.0,0.0,0.01,1.020408163265306,4.926249267311736,0.5117267652705572,1.0
1252670326833647624,covid_true,111,2.0,112.0,96.0,0.011502574002574,112.0,1.0,112.0,0.0,0.0089285714285714,1.1666666666666667,4.570969112068943,1.0278003885487013,1.0
1252761286359777281,covid_true,34,1.0,34.0,34.0,0.0294117647058823,34.0,1.0,34.0,0.0,0.0294117647058823,1.0,2.9593201512468634,35.71195172853707,1.0
1288553392294551555,covid_true,4,1.0,4.0,4.0,0.25,4.0,1.0,4.0,0.0,0.25,1.0,1.1547005383792517,3.4973316197244064,1.0
1252928683565875200,covid_true,9,1.0,9.0,9.0,0.1111111111111111,9.0,1.0,9.0,0.0,0.1111111111111111,1.0,1.590990257669732,8.601151338313896,1.0
